,sytoxG_t0,sytoxG_t2,sytoxG_t4,sytoxG_t6,sytoxG_t8,sytoxG_t10,sytoxG_t12,sytoxG_t14,sytoxG_t16,sytoxG_t18,sytoxG_t20,sytoxG_t22,sytoxG_t24,sytoxG_t26,sytoxG_t28,sytoxG_t30,sytoxG_t32,sytoxG_t34,sytoxG_t36,sytoxG_t38,sytoxG_t40,sytoxG_t42,sytoxG_t44,sytoxG_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
Arbutin,71.00696,71.93516,69.61466,68.68647,65.43778,83.0735,103.9579,106.2784,116.9526,128.091,151.2959,187.0314,219.5182,236.6899,246.4359,266.3921,287.7406,281.2433,290.0611,279.3869,253.3974,257.5742,244.1154,245.5077,180.476017916667,65.43778,290.0611,8346.3342,36,8,224.62332,174.50074,17.86775,21,-12.99475,39
Ribavirin.,65.90189,73.32745,70.07877,61.26091,79.36072,120.2013,147.5831,164.2906,169.8598,171.7162,184.7109,206.0594,244.5795,272.4254,297.9508,336.4709,345.7528,343.4323,349.9297,336.0068,332.294,299.8072,281.2433,258.5025,217.19776,61.26091,349.9297,10101.08809,36,6,288.66879,192.60061,20.42029,9,-16.2434,41
Berberine.HCl,75.18384,82.60941,86.78629,83.0735,86.32218,88.64268,95.14005,102.5656,107.2066,132.732,158.7214,180.0699,206.5235,224.1592,254.3256,275.6741,294.7021,291.9175,290.9893,290.0611,262.6794,253.3974,227.872,224.6233,182.332414583333,75.18384,294.7021,8452.14876,32,0,219.51826,149.43946,15.0832,27,-13.69085,39
Maprotiline.HCl,73.32745,70.54286,59.40451,53.37124,57.08403,84.4658,105.8143,118.809,122.0577,116.0244,142.0139,166.6111,211.1645,252.0051,267.3203,261.7511,274.7459,287.2765,299.8072,301.6635,301.1995,292.3816,288.6688,269.6408,186.547962083333,53.37124,301.6635,8611.33393,38,6,248.29226,196.31335,22.2767,23,-9.51399999999998,45
Cytisine,71.47105,72.39925,72.39925,71.47105,91.89136,117.8808,132.2679,134.5883,142.9421,160.1137,185.6391,220.9105,249.2205,267.3203,288.6688,304.9122,311.8737,314.6583,314.1942,308.1609,297.4867,290.9893,271.4972,261.287,206.426810833333,71.47105,314.6583,9575.72887000001,34,0,243.18725,189.81595,17.6357,21,-9.74605,43
Ciclopirox.,78.43253,81.68121,82.1453,76.11204,70.54286,60.79681,69.15057,76.57613,77.96842,77.50433,75.64793,86.32218,96.53233,94.21185,105.3502,111.8476,126.2346,130.8756,138.3011,150.3677,167.0752,172.1803,184.2468,196.7775,107.786712083333,60.79681,196.7775,4898.55215,46,10,135.98069,118.34497,8.35374999999999,39,-4.873025,9
Formononetin,86.32218,86.32218,77.04023,64.50959,65.43778,87.71448,111.8476,122.5218,122.0577,126.2346,140.1575,177.2854,226.4797,267.3203,285.4201,297.4867,308.1609,329.0453,331.3658,317.4429,305.8404,300.2713,293.7739,273.3536,200.142164166667,64.50959,331.3658,9247.14810000001,36,6,266.85621,187.03142,24.59715,23,-10.21015,45
Miconazole.,54.29944,56.15583,53.37124,45.94568,51.97895,81.68121,114.6321,125.7705,144.3344,176.3571,213.0209,258.0384,307.6968,336.4709,365.2449,366.6372,363.3885,353.6425,354.5707,337.8632,344.3605,320.6916,302.1277,293.7739,225.918922916667,45.94568,366.6372,10496.03496,30,6,320.69152,239.47446,24.8292,23,-11.83445,41
Honokiol,53.83534,54.29944,61.26091,62.6532,71.00696,98.85282,129.0192,148.9754,148.0472,160.1137,192.1365,229.7284,265.928,310.9455,330.9017,329.9735,331.3658,334.6145,333.2222,327.653,332.294,316.0506,323.0121,323.4761,219.556919583333,53.83534,334.6145,10161.4207,34,0,280.77916,269.64076,22.50875,25,-8.1217,41
Tiotropium.Bromide.hydrate,61.725,67.75828,70.54286,71.93516,81.21711,113.704,129.9474,131.8038,131.8038,124.8423,141.0857,164.7547,186.1032,219.0542,250.6128,264.5357,275.21,279.3869,291.9175,294.238,280.7791,274.2818,267.3203,262.2152,184.865617083333,61.725,294.238,8549.60941999999,38,0,232.513,200.4902,16.4755,25,-6.72944999999999,39
Luteolin,106.2784,109.063,96.06824,87.25038,82.1453,79.82481,80.75301,90.03497,84.00169,94.67594,103.4938,136.9088,171.7162,202.3466,211.6286,239.0103,257.5742,264.5357,272.8895,279.851,268.7126,258.0384,249.6846,239.0103,169.395680833333,79.82481,279.851,7785.70398,38,10,200.02619,132.7319,17.4037,23,-6.49738,3
Clarithromycin.,84.4658,81.21711,67.75828,62.1891,67.75828,96.99644,114.1681,117.8808,124.3782,131.3397,166.6111,202.3466,249.2205,274.2818,296.0944,310.0173,310.4814,315.1224,311.8737,300.2713,294.238,286.3483,284.4919,275.21,201.031687916667,62.1891,315.1224,9289.84522,34,6,252.9333,190.7442,23.43695,23,-6.729415,3
Naringin,65.90189,69.15057,66.36598,67.29417,79.36072,105.8143,129.9474,142.478,142.0139,138.7652,160.5778,181.9263,210.7004,232.0489,237.6181,256.6461,258.5025,271.4972,279.3869,279.3869,275.6741,255.7179,242.259,242.7231,182.98988875,65.90189,279.3869,8474.88967,36,0,213.48501,176.82121,14.38705,23,-9.97810000000001,41
Isoprenaline.HCl,55.69173,61.26091,68.68647,68.68647,58.01222,60.79681,64.97369,83.0735,98.38873,120.6654,139.6934,151.76,165.2188,182.8545,189.3519,192.1365,201.8825,205.1312,200.4902,205.1312,213.485,221.3746,234.8335,249.2205,145.533322083333,55.69173,249.2205,6680.68723,46,0,193.52877,193.52877,11.138335,17,-5.337125,7
Paeonol,81.21711,83.0735,86.32218,82.1453,87.71448,102.5656,118.3449,124.8423,136.9088,148.5113,170.788,212.0927,256.182,293.3098,311.8737,321.1557,333.6863,338.3273,334.1504,324.4043,319.2993,315.5865,308.1609,294.7021,216.056852916667,81.21711,338.3273,9994.80973000001,34,0,257.11019,213.48499,22.04465,23,-6.72940000000003,45
Zidovudine.,56.15583,58.94042,57.54812,47.80207,57.54812,85.39399,100.2451,113.2399,129.9474,135.0524,152.2241,187.9596,218.59,250.1487,258.0384,257.5742,279.3869,278.9228,280.3151,271.4972,260.3589,252.0051,242.259,232.0489,177.633427083333,47.80207,280.3151,8238.19977000001,36,6,232.51303,175.89307,17.86775,21,-5.56915000000001,39
Rutin,72.39925,76.11204,76.11204,67.29417,68.68647,88.17857,116.0244,119.7372,118.809,136.9088,169.3957,192.6006,231.5848,238.5462,239.0103,254.3256,263.6075,266.8562,277.0664,265.928,261.287,250.6128,232.0489,223.231,179.431789166667,67.29417,277.0664,8317.09563,36,6,209.77223,150.83175,19.4921,23,-9.28194999999999,43
Pioglitazone.,89.10677,100.2451,95.60414,90.96317,88.64268,107.2066,121.1295,122.5218,124.8423,145.2626,166.147,198.1698,226.4797,251.541,264.0716,286.3483,289.597,286.8124,283.0996,286.8124,276.1382,270.1049,268.2485,262.6794,195.907269166667,88.64268,289.597,9051.76274999999,32,8,200.95432,173.57263,16.0114,21,-5.33710000000002,39
Sinomenine,64.04549,72.86335,76.11204,72.39925,77.96842,109.063,124.3782,130.4115,136.4447,149.4395,184.2468,206.9876,246.4359,267.7844,285.4201,305.8404,319.2993,310.4814,288.6688,277.0664,274.2818,256.6461,239.0103,234.3694,196.23600625,64.04549,319.2993,9120.91340999999,32,0,255.25381,170.32391,19.72415,23,-10.9063,35
Tioxolone,67.75828,65.43778,63.1173,60.33271,64.97369,74.25565,89.10677,103.0297,97.92463,115.5603,140.1575,184.2468,215.3414,245.0436,262.2152,250.1487,260.3589,261.7511,250.6128,252.0051,252.0051,256.6461,266.8562,272.8895,173.823950416667,60.33271,272.8895,8002.90184000001,46,6,212.55679,205.13122,22.04465,21,-6.03325,29
AG.18,70.07877,75.18384,71.47105,64.97369,73.32745,93.28365,108.5989,110.4553,114.6321,129.9474,142.478,179.1417,216.7337,263.6075,284.4919,306.3045,303.5199,311.8737,299.8072,291.9175,285.8842,268.7126,273.3536,271.4972,192.136472916667,64.97369,311.8737,8880.97472999999,34,6,246.90001,201.41843,23.4369,25,-8.58580000000001,41
Empagliflozin..BI.10773.,109.9912,109.063,105.3502,86.32218,84.92989,107.6707,119.7372,124.8423,135.9807,142.478,168.9316,205.5953,249.6846,269.1767,294.238,299.8072,303.984,311.4096,304.4482,297.9508,290.9893,296.5585,273.3536,269.1767,206.736227916667,84.92989,311.4096,9544.17104,34,8,226.47971,159.1855,22.04465,23,-11.60245,43
Temocapril.HCl.,71.47105,71.93516,63.1173,56.61993,70.07877,104.8861,140.6216,156.401,177.2854,202.3466,228.3361,240.4026,279.3869,296.5585,316.9788,326.7248,319.7634,323.0121,320.2274,320.6916,311.8737,309.0891,304.4482,302.1277,221.43265875,56.61993,326.7248,10255.16887,30,6,270.10487,230.65665,19.49215,23,-4.40895,39
Troxerutin,71.47105,79.36072,80.28892,73.79154,67.29417,75.18384,88.17857,102.1015,101.6374,125.3064,154.0805,200.0261,255.7179,291.9175,306.7686,314.1942,316.5147,300.7354,298.4149,295.1662,281.7073,269.6408,260.8229,252.0051,194.263592083333,67.29417,316.5147,9001.17627,32,8,249.22053,180.53405,27.8459,23,-7.88964999999999,33
Dronedarone.HCl,97.92463,100.7092,90.03497,79.82481,80.28892,78.89662,78.89662,90.49906,92.81956,110.4553,148.0472,205.1312,269.6408,323.9402,368.4936,393.5549,411.1906,391.2344,365.709,343.8965,323.9402,305.8404,283.5638,268.7126,220.968545416667,78.89662,411.1906,10239.85295,32,10,332.29398,170.78797,32.2548,23,-12.7627,35
Biochanin.A,89.10677,86.32218,71.93516,59.86861,49.65846,66.36598,88.64268,95.14005,95.60414,108.5989,132.2679,181.4622,225.5515,263.6075,286.8124,309.5532,322.5479,333.2222,321.6198,299.343,279.3869,278.4586,264.0716,245.0436,189.757967916667,49.65846,333.2222,8774.23209,34,8,283.56374,155.93683,24.59715,21,-11.1384,37
Mestranol,59.40451,58.47632,59.86861,59.40451,65.43778,92.81956,113.2399,139.2293,143.8703,168.9316,201.8825,249.6846,294.238,338.3273,347.1451,344.8246,323.0121,314.6583,300.2713,284.4919,273.8177,264.0716,270.1049,264.0716,209.63682875,58.47632,347.1451,9739.09166999999,28,2,288.66878,204.66709,23.90105,21,-10.90625,31
Hordenine,81.68121,82.1453,77.96842,67.29417,70.07877,84.92989,103.9579,114.6321,116.0244,133.6602,149.4395,175.429,225.5515,263.6075,288.6688,307.6968,330.4376,332.7581,329.9735,305.8404,300.7354,294.7021,283.5638,266.8562,199.48469,67.29417,332.7581,9226.72771,34,6,265.46393,185.17499,25.06125,23,-12.06655,37
Neratinib..HKI.272.,71.93516,72.86335,70.54286,70.07877,90.03497,116.0244,152.2241,182.8545,230.1925,271.9613,315.5865,358.2835,391.2344,416.7598,426.5059,443.6775,459.4568,467.8105,489.1591,506.3307,530.4637,566.1993,606.1117,628.8525,330.630992083333,70.07877,628.8525,15169.49996,46,6,558.77373,556.91734,23.669,15,-1.160245,3
Sorbitol,78.43253,81.21711,72.39925,65.43778,74.25565,107.2066,148.9754,173.5726,178.2135,180.9981,202.3466,232.9771,264.5357,300.7354,324.4043,325.3326,336.935,329.5094,330.9017,332.294,315.5865,302.1277,283.0996,256.6461,220.7558425,65.43778,336.935,10261.20181,32,6,271.49722,178.21357,20.8844,11,-13.22675,45
Tebipenem.Pivoxil,48.73027,49.65846,46.40978,47.33797,62.6532,95.14005,109.5271,121.5936,126.6987,135.5166,155.9368,214.8773,262.6794,297.4867,326.2607,333.2222,358.7476,367.5654,374.0628,362.4604,336.935,312.8019,304.4482,294.238,214.374505416667,46.40978,374.0628,9947.00799,36,4,327.65302,245.50773,29.47025,21,-12.7627,39
Isoliquiritigenin,79.36072,77.04023,76.57613,59.86861,58.47632,68.68647,79.36072,77.96842,79.36072,88.64268,112.7758,157.7932,215.3414,245.5077,293.7739,302.5917,310.9455,326.7248,326.7248,324.4043,319.7634,309.5532,290.0611,280.7791,190.086705,58.47632,326.7248,8764.02202,34,8,268.24848,201.41838,28.7741,23,-9.74605,43
LY2784544,70.54286,73.79154,74.25565,65.43778,75.18384,127.6269,170.788,200.9543,226.0156,246.9,319.7634,400.0523,481.2694,540.6739,588.0119,593.5811,580.1222,568.9839,549.0276,528.6074,502.1538,480.8053,457.6004,439.9647,348.421407083333,65.43778,593.5811,16213.71998,30,6,528.14332,369.42184,40.60855,23,-13.2268,39
Genipin,78.43253,88.17857,90.49906,82.1453,77.96842,89.57087,99.78102,105.3502,103.0297,108.1348,140.1575,170.788,226.9438,271.4972,306.7686,321.6198,336.0068,338.3273,348.0733,346.2169,332.7581,318.8352,296.0944,274.7459,206.33013625,77.96842,348.0733,9550.66811,36,8,270.10488,196.31337,28.0779,23,-11.3704,43
AZD8931..Sapitinib.,108.1348,110.4553,98.85282,80.28892,82.1453,120.2013,174.0367,215.8055,243.1872,258.5025,277.0664,298.879,329.0453,395.8754,453.8876,508.6512,515.6126,507.2589,486.3745,470.131,441.357,426.5059,405.6215,388.4498,308.180268333333,80.28892,515.6126,14296.06828,32,6,435.32368,280.315,33.41505,25,-14.387,39
Synephrine.HCl,54.76354,60.33271,57.08403,51.51485,51.97895,82.1453,112.3117,116.9526,116.4885,122.5218,145.7267,175.8931,213.485,239.4744,265.4639,263.1434,264.9998,268.7126,257.1102,247.3641,237.154,250.1487,250.1487,243.1872,172.837740833333,51.51485,268.7126,7998.26082,34,6,217.19775,188.42366,18.79595,23,-5.80119999999999,35
PIK.293,70.54286,71.47105,70.07877,65.43778,92.81956,126.2346,154.0805,168.0034,180.534,192.6006,206.5235,232.513,256.182,278.9228,289.597,293.7739,296.5585,301.1995,297.9508,295.6303,298.879,304.9122,301.6635,299.343,214.393838333333,65.43778,304.9122,9921.01838000001,42,6,239.47442,228.80014,16.70752,9,-2.320495,5
Amfebutamone.HCl,88.17857,88.17857,83.0735,75.64793,64.04549,82.60941,112.3117,109.9912,114.1681,127.1628,161.0419,195.3852,238.0822,284.956,298.4149,316.0506,330.9017,323.9402,320.6916,311.4096,301.6635,292.3816,278.9228,264.9998,202.675369583333,64.04549,330.9017,9375.23937,32,8,266.85621,176.82123,23.4369,25,-6.9615,45
CYT387,79.82481,81.21711,78.89662,67.29417,62.1891,70.54286,87.25038,100.2451,111.3835,123.45,146.6549,180.9981,222.7669,258.9666,282.1714,285.4201,284.4919,275.21,261.287,256.182,251.0769,239.4744,227.872,224.6233,177.478714583333,62.1891,285.4201,8214.53019,30,8,223.231,144.79849,20.8844,23,-6.9615,35
Pramipexole,73.79154,76.57613,77.50433,71.47105,72.39925,98.85282,117.4167,125.3064,117.4167,122.5218,142.478,177.2854,225.0874,265.928,295.1662,306.3045,309.5532,316.0506,321.1557,304.9122,291.9175,290.0611,283.5638,273.8177,198.189084166667,71.47105,321.1557,9165.46679999999,36,6,249.68465,200.02616,23.901,23,-8.12175000000002,37
Eltrombopag,76.57613,77.96842,68.22237,58.01222,59.86861,72.86335,72.86335,76.57613,82.1453,91.89136,106.2784,129.0192,168.4675,193.0647,199.0979,218.59,226.4797,234.3694,230.1925,221.3746,215.3414,211.1645,195.8493,200.9543,145.301276666667,58.01222,234.3694,6696.93085,34,6,176.35718,124.37817,19.72415,23,-7.6576,43
Imatinib..STI571.,64.97369,70.54286,66.36598,63.58139,101.1733,129.4833,157.7932,161.0419,146.6549,135.5166,142.478,164.2906,207.4517,254.7897,271.9613,278.9228,284.956,297.0226,310.9455,287.2765,265.4639,233.9053,223.6951,205.1312,188.559055,63.58139,310.9455,8780.72975,36,6,247.36411,140.15751,23.669,25,-15.7793,41
Degrasyn..WP1130.,72.39925,77.96842,79.36072,87.25038,97.46053,123.9141,166.147,228.3361,290.5252,349.9297,403.765,449.2466,498.441,539.2816,564.3429,565.7352,596.3657,610.2886,631.6371,639.0626,650.6651,672.0135,701.7158,719.3516,408.966820833333,72.39925,719.3516,18838.65655,46,0,646.95235,646.95235,31.09455,13,0.696149999999989,29
Moroxydine.HCl,53.83534,56.15583,53.37124,53.83534,64.50959,77.50433,90.96317,103.9579,108.1348,122.5218,149.9036,185.6391,236.6899,248.7564,244.5795,248.7564,254.7897,239.9386,223.231,206.0594,192.1365,203.2748,200.4902,189.3519,158.682764166667,53.37124,254.7897,7373.58544,32,4,201.41846,135.51656,25.5254,23,-8.58579999999999,37
SMI.4a,51.97895,51.05075,53.37124,51.51485,57.08403,69.61466,88.64268,99.78102,106.2784,128.091,152.2241,178.6776,213.0209,244.5795,265.4639,276.1382,282.1714,280.3151,270.569,272.4254,273.3536,259.8947,260.8229,255.7179,176.782574166667,51.05075,282.1714,8177.86671,32,2,231.12065,203.73895,17.17165,23,-6.72944999999999,41
AZD5363,96.06824,92.81956,92.81956,92.35545,109.5271,147.5831,179.1417,170.3239,170.788,171.7162,177.2854,212.5568,238.0822,266.8562,280.7791,289.1329,296.5585,287.2765,285.8842,277.0664,284.4919,284.0278,282.1714,283.0996,211.18382125,92.35545,296.5585,9757.65558,32,6,204.20305,187.03136,19.028,9,-4.64099999999999,33
X3.Indolebutyric.acid..IBA.,77.04023,82.1453,85.85809,78.43253,77.50433,82.60941,104.422,114.1681,124.8423,143.4062,173.5726,208.3799,250.6128,275.21,294.238,313.266,309.0891,324.8684,315.1224,311.4096,298.4149,286.8124,281.7073,277.0664,203.758262083333,77.04023,324.8684,9426.28995000001,34,0,247.82817,200.02617,21.11645,23,-6.49735000000001,39
Ozagrel,46.87387,47.80207,46.87387,45.01748,55.69173,67.29417,91.89136,99.78102,112.3117,117.8808,148.9754,180.0699,227.872,247.8282,265.928,280.7791,276.6023,273.8177,262.6794,258.9666,248.7564,238.5462,240.8667,233.4412,171.52279875,45.01748,280.7791,7952.77927000001,30,6,235.76162,186.56733,23.90105,23,-5.56915000000001,35
Artemether,49.65846,50.12256,47.80207,44.55339,49.19436,55.69173,60.33271,72.39925,85.39399,100.2451,122.0577,153.1523,191.2083,234.8335,265.4639,282.1714,275.21,263.1434,267.3203,257.1102,243.1872,242.259,238.5462,244.1154,162.298850833333,44.55339,282.1714,7496.57098,30,6,237.61801,194.45694,21.8126,25,-6.96150000000002,39
Roxithromycin.,98.85282,101.1733,103.0297,84.4658,85.85809,116.9526,138.3011,151.2959,148.0472,150.3677,166.147,202.3466,257.1102,301.6635,325.3326,330.4376,333.2222,328.1171,310.9455,287.7406,281.7073,267.7844,257.1102,245.0436,211.377192083333,84.4658,333.2222,9802.20880000001,32,6,248.7564,146.19078,27.3818,23,-11.60245,37
Bilobalide,65.43778,71.00696,70.07877,66.36598,71.93516,100.2451,123.9141,129.0192,150.3677,165.2188,176.3571,214.4132,239.0103,267.3203,292.8457,307.6968,313.266,315.5865,323.4761,324.8684,328.1171,309.5532,294.238,291.4534,208.824652083333,65.43778,328.1171,9666.69211999999,40,0,262.67932,226.01562,19.02805,21,-9.28194999999999,41
Naphazoline.HCl.,81.68121,78.89662,73.32745,69.61466,79.82481,92.81956,131.3397,148.9754,155.4727,165.6829,174.9649,205.1312,224.6233,260.8229,286.3483,315.5865,333.6863,342.0401,336.4709,324.8684,323.4761,306.3045,316.0506,303.0558,213.794367083333,69.61466,342.0401,9877.39261,34,6,272.42544,221.37459,19.26007,11,-8.58579999999998,41
Dihydroartemisinin..DHA.,72.86335,69.15057,63.1173,59.40451,57.54812,60.79681,61.26091,61.725,64.04549,83.5376,109.5271,134.5883,171.7162,195.3852,218.1259,220.9105,215.3414,217.1978,208.844,216.2696,202.3466,211.6286,202.8107,203.7389,140.911685833333,57.54812,220.9105,6487.15867,30,8,163.36238,130.87555,18.56395,23,-6.9615,39
Dopamine.HCl.,80.75301,90.96317,89.10677,77.96842,72.39925,75.18384,77.96842,97.46053,105.3502,108.1348,136.4447,166.147,211.1645,249.2205,281.7073,311.8737,310.0173,321.6198,323.9402,317.4429,313.7301,298.4149,288.2047,277.5305,195.114437916667,72.39925,323.9402,9007.20951,36,8,251.54095,196.77749,22.50875,23,-7.6576,41
Ferulic.Acid,78.89662,80.28892,77.04023,62.6532,77.50433,100.7092,113.2399,117.4167,118.809,132.2679,146.1908,175.429,208.844,243.6513,255.2538,271.9613,291.4534,294.238,285.4201,276.1382,262.6794,248.2923,232.513,230.1925,182.545129166667,62.6532,294.238,8453.07708,34,6,231.5848,151.29588,17.40365,25,-7.88965,43
Secnidazole.,80.75301,89.10677,76.11204,62.1891,60.79681,77.96842,101.6374,112.3117,114.6321,125.7705,138.7652,172.6444,206.0594,242.7231,271.4972,283.0996,288.6688,285.8842,276.6023,272.8895,259.4307,245.0436,240.4026,226.4797,179.64450625,60.79681,288.6688,8315.70359,32,8,227.87199,145.72669,18.33185,25,-7.19355,41
Hyodeoxycholic.acid..HDCA.,85.39399,88.64268,76.11204,66.36598,63.58139,84.4658,105.8143,118.3449,108.5989,124.8423,145.2626,181.9263,209.7722,232.513,265.928,284.4919,288.6688,291.4534,303.984,293.3098,276.1382,259.4307,256.182,242.7231,185.581095,63.58139,303.984,8579.77547,36,8,240.40261,157.32911,18.33185,21,-8.58580000000001,39
Scopine.HCl,82.1453,84.92989,76.57613,71.47105,80.75301,100.7092,128.091,154.0805,155.4727,165.2188,182.3904,204.203,240.4026,264.9998,281.7073,298.4149,310.0173,311.8737,303.5199,292.3816,279.851,262.6794,254.7897,239.4744,201.089690833333,71.47105,311.8737,9330.68546,34,6,240.40265,157.3291,18.0998,23,-8.58580000000001,41
Magnolol,101.6374,106.7425,99.31693,87.71448,90.03497,86.32218,95.14005,103.0297,113.704,114.6321,131.3397,168.9316,196.3134,218.59,239.9386,250.6128,264.9998,270.1049,261.287,235.2976,225.0874,201.8825,200.0261,186.1032,168.699537916667,86.32218,270.1049,7809.83721999999,34,10,183.78272,84.4658,18.79595,21,-12.9947,37
Rosiglitazone.,120.2013,124.8423,106.2784,100.7092,98.38873,110.9194,110.9194,112.7758,117.4167,127.1628,141.5498,176.8212,217.1978,257.1102,277.9946,293.3098,312.3378,313.7301,303.984,294.238,271.9613,256.182,245.0436,232.513,196.816134583333,98.38873,313.7301,9094.46016,34,8,215.34137,112.3117,20.1883,23,-11.13835,39
Neohesperidin,74.25565,75.18384,71.00696,63.58139,68.68647,87.25038,96.53233,103.4938,118.3449,131.3397,165.2188,203.2748,245.5077,277.5305,289.1329,323.4761,340.1837,330.4376,343.8965,320.6916,311.4096,302.1277,294.7021,281.2433,204.937846666667,63.58139,343.8965,9481.51769000001,36,6,280.31511,206.98765,21.11645,23,-11.60245,37
Medroxyprogesterone.acetate,84.92989,89.57087,85.39399,83.5376,76.57613,85.85809,99.78102,101.1733,96.53233,107.2066,121.1295,139.2293,169.8598,215.3414,250.6128,287.2765,305.8404,319.2993,321.6198,322.5479,304.9122,294.7021,277.9946,269.6408,187.940259166667,76.57613,322.5479,8666.56175,38,8,245.97177,184.71091,22.7408,25,-8.81785000000002,39
X....Parthenolide,66.36598,66.36598,70.54286,69.15057,67.29417,68.22237,73.32745,79.82481,82.1453,87.71448,111.8476,135.0524,147.5831,175.8931,211.1645,239.0103,271.0331,300.2713,310.9455,313.7301,319.2993,325.3326,335.0786,345.7528,178.03951125,66.36598,345.7528,8133.77776,46,0,279.38682,279.38682,17.6357,27,-0.928200000000004,7
Quinapril.HCl.,61.26091,60.79681,67.29417,64.04549,65.90189,85.85809,103.9579,101.1733,111.8476,123.45,140.6216,181.4622,218.1259,248.2923,275.21,300.7354,305.8404,309.5532,305.8404,290.9893,279.3869,268.7126,257.1102,243.1872,186.27724,60.79681,309.5532,8636.85941,34,2,248.75639,181.92629,20.4203,21,-7.42554999999999,37
Salicin,71.00696,70.54286,66.36598,62.6532,68.22237,84.4658,116.9526,136.4447,144.7985,159.6496,173.1085,209.7722,243.1872,260.3589,276.1382,282.6355,288.6688,288.6688,285.4201,258.9666,246.4359,242.259,236.6899,232.9771,187.766219583333,62.6532,288.6688,8708.79448,32,6,226.0156,161.97014,18.33185,21,-13.22675,37
Tolvaptan,68.68647,74.25565,66.83008,56.15583,55.22763,72.86335,113.2399,125.3064,117.4167,119.7372,129.0192,166.6111,201.4184,234.3694,253.3974,258.5025,268.2485,277.9946,270.1049,256.182,246.4359,230.1925,211.1645,187.4955,169.202317083333,55.22763,277.9946,7865.52925,34,8,222.76697,118.80903,20.188275,11,-11.8345,45
Stigmasterol,82.1453,83.5376,76.57613,76.57613,85.85809,113.704,142.0139,158.7214,168.4675,165.2188,192.6006,229.2643,284.956,304.4482,311.8737,318.3711,323.4761,318.8352,304.9122,281.2433,278.9228,270.1049,254.3256,252.4692,211.609252083333,76.57613,323.4761,9822.6296,32,4,246.89997,170.3239,27.84585,23,-11.83445,37
Dehydroepiandrosterone..DHEA.,68.22237,69.15057,66.36598,63.58139,68.68647,77.50433,78.89662,78.89662,83.0735,110.9194,145.2626,183.7827,218.1259,259.4307,271.0331,279.3869,264.5357,255.2538,251.541,245.9718,240.8667,225.5515,216.2696,207.9158,167.92604375,63.58139,279.3869,7784.31193,30,6,215.80551,139.69343,20.6524,25,-7.6576,41
PRX.08066.Maleic.acid,65.43778,76.57613,65.43778,58.47632,61.725,74.71974,94.21185,116.0244,121.1295,133.1961,150.3677,177.2854,225.0874,247.3641,274.7459,279.851,281.2433,280.7791,269.1767,271.9613,274.7459,283.5638,267.3203,255.7179,183.58935,58.47632,283.5638,8491.13312,42,6,225.08748,190.28012,23.901,23,-8.12175000000002,43
TCS.359,122.5218,125.7705,122.9859,109.5271,98.38873,101.6374,104.8861,108.5989,129.0192,148.0472,175.8931,219.0542,261.7511,294.7021,318.8352,324.4043,330.4376,330.4376,338.7914,322.0839,321.6198,315.1224,299.8072,294.7021,221.626034583333,98.38873,338.7914,10220.82576,36,8,240.40267,172.1803,21.58055,21,-8.35374999999999,37
Gabexate.Mesylate,64.97369,70.07877,69.61466,66.83008,82.1453,118.3449,147.5831,171.2521,191.6724,217.6618,232.9771,254.7897,295.6303,326.7248,355.4989,354.5707,356.8912,363.8527,362.9245,360.1399,353.6425,351.322,342.0401,337.8632,243.70935,64.97369,363.8527,11295.21191,34,0,298.87901,272.88951,20.4203,23,-4.64095,43
Ursolic.Acid,62.1891,64.97369,66.36598,59.86861,58.94042,81.21711,99.78102,98.38873,108.1348,131.3397,162.4342,209.7722,261.287,304.4482,332.7581,355.0348,362.9245,368.0295,356.4271,347.1451,333.6863,321.6198,302.5917,295.1662,214.355160833333,58.94042,368.0295,9931.69241999999,34,8,309.08908,232.9771,25.7574,23,-9.51405,43
Conivaptan.HCl.,56.15583,53.37124,53.83534,53.37124,47.80207,53.37124,60.33271,78.43253,87.25038,97.92463,124.8423,161.9701,210.7004,234.3694,240.8667,243.1872,243.1872,237.154,221.8387,210.2363,206.9876,198.1698,188.8878,168.9316,147.215679583333,47.80207,243.1872,6841.26519,30,8,195.38513,112.77577,24.36515,23,-9.9781,45
Butylscopolamine.Bromide,78.89662,81.21711,76.11204,57.54812,65.43778,83.5376,119.7372,135.0524,134.1243,133.1961,152.6882,185.175,219.5182,239.0103,263.6075,287.2765,303.0558,290.9893,299.343,298.4149,281.7073,284.4919,268.2485,253.8615,191.343632083333,57.54812,303.0558,8851.73622,32,6,245.50768,174.96488,18.0998,11,-9.28196,5
Naftopidil.,74.71974,74.25565,61.725,52.44305,56.61993,78.43253,110.9194,115.5603,120.6654,131.3397,150.3677,180.0699,227.4079,262.6794,287.7406,300.7354,297.4867,298.4149,292.8457,287.2765,276.6023,272.8895,250.1487,232.0489,187.224783333333,52.44305,300.7354,8680.02096,30,6,248.29235,157.32916,23.669,23,-11.3704,43
