,confluency_t0,confluency_t2,confluency_t4,confluency_t6,confluency_t8,confluency_t10,confluency_t12,confluency_t14,confluency_t16,confluency_t18,confluency_t20,confluency_t22,confluency_t24,confluency_t26,confluency_t28,confluency_t30,confluency_t32,confluency_t34,confluency_t36,confluency_t38,confluency_t40,confluency_t42,confluency_t44,confluency_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
X....Epigallocatechin.Gallate,99.69585,99.51156,99.61157,99.41976,99.26233,99.33632,99.26855,99.15056,99.29521,99.44442,99.37382,99.7326,99.77612,99.8863,99.9745,99.85555,99.89341,99.86626,99.93251,99.92863,99.8827,99.87718,99.71989,99.92975,99.65105625,99.15056,99.9745,4583.6251,28,14,0.823940000000007,0.233900000000006,0.179390000000005,21,-0.0959050000000019,5
Olanzapine,99.40055,99.50568,99.3694,99.4125,99.00654,98.98527,98.70337,98.45773,98.49469,98.61224,98.96599,99.26765,99.49174,99.467,99.81425,99.8052,99.7576,99.78026,99.49622,99.68024,99.77902,99.67712,99.64798,99.86619,99.35185125,98.45773,99.86619,4569.62212,46,14,1.40846000000001,0.465640000000008,0.176875000000003,19,-0.202979999999997,7
Empty.3.12,99.60495,99.70172,99.41133,99.51563,99.14146,99.11444,98.72215,99.00343,99.15947,98.95087,98.69017,98.41643,98.52757,98.41553,98.58041,98.92966,98.72533,99.10899,99.0533,99.24071,99.12328,99.27393,99.41125,99.31358,99.04731625,98.41553,99.70172,4555.35265,2,26,1.28618999999999,-0.291370000000001,0.191830000000003,33,-0.196145000000001,11
Empty.3.13,99.72189,99.79193,99.70538,99.72626,99.37043,99.58947,99.32278,99.17716,98.93381,99.00813,99.00303,99.18372,98.68437,99.36511,98.03132,98.04204,97.03566,96.35513,95.3701,94.1623,95.09055,92.44356,91.97273,91.37508,97.5192475,91.37508,99.79193,4489.82691,2,46,8.41685,-8.34681,0.464124999999996,39,-1.32349499999999,41
Andrographolide,99.89893,99.81873,99.92415,99.83952,99.7272,99.66587,99.4279,99.21004,99.06726,98.96938,98.41083,98.75987,98.11739,97.96003,97.14777,97.26514,95.76833,95.73551,94.4813,94.54955,92.35853,91.71156,90.28949,88.60575,96.94625125,88.60575,99.92415,4464.91538,4,46,11.3184,-11.29318,0.174520000000001,21,-1.09551,39
Quinine.HCl.Dihydrate,99.62981,99.60764,99.51356,99.39192,99.40048,98.84021,98.50554,98.36454,97.97067,97.81181,97.6693,96.92638,97.1926,96.29559,95.34959,93.77997,93.92952,93.61861,91.8935,89.77335,89.31288,87.49786,86.50965,85.82724,95.1921758333333,85.82724,99.62981,4383.76739,0,46,13.80257,-13.80257,0.133110000000002,23,-1.060075,37
Baicalin,98.74364,98.89685,98.82335,98.50898,98.15683,97.49882,97.48155,96.77621,96.37164,95.38654,95.30212,94.48385,94.27898,93.05909,92.3387,92.07607,91.36259,90.68791,89.19485,87.5652,86.48589,85.01366,83.87751,82.7318,93.12927625,82.7318,98.89685,4288.72982,2,46,16.16505,-16.01184,0.0766050000000007,1,-0.814824999999999,37
Vardenafil.HCl.Trihydrate,97.52087,97.76546,97.48045,97.04263,96.28875,94.85611,94.40669,93.76485,93.3814,92.44031,91.39885,90.14601,90.07806,88.9559,89.3185,88.43342,86.45142,84.58893,83.21196,81.89585,79.16778,78.63545,77.25726,75.46129,89.1645083333333,75.46129,97.76546,4106.91424,2,46,22.30417,-22.05958,0.1813,27,-1.364035,39
Cryptotanshinone,99.75802,99.70262,99.80582,99.8072,99.81149,99.71962,99.64031,99.45007,99.13889,99.02567,98.78598,98.50222,98.43307,98.39218,98.11497,97.8176,97.81919,97.6552,97.4917,97.63829,97.36667,97.37337,97.11752,96.58005,98.5394883333333,96.58005,99.81149,4533.55737,8,46,3.23144000000001,-3.17797,0.0732950000000017,37,-0.268735,45
Alizarin,98.05246,98.73431,98.53559,98.32069,97.892,97.51775,97.32274,96.73684,95.95207,95.60772,95.41022,94.85349,94.25529,94.33797,93.73445,93.55368,91.81255,90.24638,89.3886,87.22742,85.87512,84.40311,82.03774,80.92527,93.0305608333333,80.92527,98.73431,4286.48919,2,46,17.80904,-17.12719,0.340924999999999,1,-1.182685,43
Ergosterol,99.54617,99.66442,99.43972,99.25362,99.05938,98.82854,98.75262,98.42927,98.43501,98.40537,98.12098,98.05896,97.2366,97.33117,97.14017,96.33192,96.2931,95.18353,95.01118,93.19593,91.99934,90.01456,89.41533,88.12734,96.38642625,88.12734,99.66442,4438.87495,2,46,11.53708,-11.41883,0.0591250000000016,1,-0.99239,41
Isoconazole.nitrate.,99.90225,99.90059,99.89245,99.87552,99.84353,99.67651,99.57151,99.44524,99.47951,99.26447,99.13074,98.97649,98.96813,99.035,98.85298,97.94691,98.18385,97.33917,97.4075,96.9621,93.9233,92.50871,95.75105,90.99262,98.03458875,90.99262,99.90225,4514.76539,0,46,8.90962999999999,-8.90962999999999,1.62117000000001,43,-2.379215,45
Hesperetin,99.72742,99.80388,99.6674,99.74614,99.49097,99.36967,99.34121,99.08163,98.99805,98.97601,98.90396,98.9157,98.74545,98.60568,98.86404,98.35583,97.65327,98.20312,96.87306,96.57023,96.20489,94.52219,93.99541,92.62799,98.0518,92.62799,99.80388,4514.13099,2,46,7.17589000000001,-7.09943,0.274924999999996,33,-0.841350000000006,41
Ceftiofur.HCl,99.71996,99.79338,99.65855,99.55991,99.43448,99.40531,99.19055,99.04475,98.98105,98.96199,99.12535,98.76912,98.89788,98.44806,98.07001,98.69514,97.83522,97.48071,96.64359,96.54958,94.84541,94.73412,94.61524,93.08554,97.9810375,93.08554,99.79338,4510.2843,2,46,6.70784,-6.63442000000001,0.312564999999999,29,-0.852085000000002,39
L.....Rhamnose.Monohydrate,99.62312,99.81605,99.43868,99.11969,99.12514,98.23801,97.85815,97.36274,97.14232,96.78941,96.77352,96.25904,96.2203,96.5399,95.66008,94.43806,94.17067,92.77222,92.68167,92.19122,89.18241,88.80388,88.99576,87.15827,95.2650129166667,87.15827,99.81605,4385.93923,2,46,12.65778,-12.46485,0.159800000000004,25,-1.504405,39
X5.Aminolevulinic.acid.HCl,99.85058,99.92194,99.76085,99.65046,99.66277,99.35723,99.26392,99.10386,99.12266,99.37278,98.99812,98.93816,98.96585,98.60797,98.53233,98.57924,97.66074,97.56893,96.36507,95.95676,94.93272,94.21452,93.85699,94.55735,98.0334083333333,93.85699,99.92194,4511.19567,2,44,6.06495000000001,-5.29322999999999,0.350180000000002,45,-0.601929999999996,35
Myricitrin,99.8349,99.9374,99.94121,99.79691,99.7252,99.45325,99.14754,99.34004,99.20078,99.2253,98.90369,99.03777,99.05434,98.29671,98.49551,98.66158,98.26791,97.71227,97.17838,97.05459,97.11925,95.85191,96.2236,96.02543,98.47856125,95.85191,99.94121,4531.11061,4,42,4.08929999999999,-3.80947,0.185845,43,-0.633669999999995,41
Cloxacillin.Sodium,99.95564,99.97575,99.90515,99.85037,99.7802,99.52869,99.45815,99.23574,99.30344,99.09571,99.02203,99.02567,98.41152,98.68437,97.91466,97.28965,96.79002,95.20004,94.99039,94.46728,93.74937,93.46493,93.4053,94.01897,97.6051266666667,93.4053,99.97575,4491.07147,2,44,6.57045000000001,-5.93667000000001,0.306835,45,-0.794989999999999,33
Osthole,99.75381,99.8224,99.88962,99.74848,99.65827,99.4404,99.09973,98.93028,98.7406,98.63284,98.54469,98.58206,98.80718,97.86222,97.62211,98.02933,97.47002,96.91416,96.50226,96.25898,96.76385,96.20993,96.37751,95.93079,98.1496466666667,95.93079,99.88962,4515.49844,4,46,3.95882999999999,-3.82302,0.252435000000006,39,-0.472480000000004,25
Xylometazoline.HCl,99.06187,99.39869,99.1851,99.01662,98.73176,98.38535,98.25955,97.44418,96.99553,96.84943,96.73442,96.5263,96.04532,95.44008,95.73779,94.88235,94.42915,94.13322,93.45657,91.73062,91.37405,90.47475,90.42951,89.40974,95.58883125,89.40974,99.39869,4399.79229,2,46,9.98895,-9.65213,0.168410000000002,1,-0.862974999999999,37
Quercetin.Dihydrate,99.57967,99.57214,99.50776,99.48592,99.32781,99.28588,99.07224,99.00453,98.86722,99.01725,99.03472,99.0073,98.91343,98.80906,98.38334,98.55325,98.48882,97.59643,97.28516,97.26768,96.34103,95.56841,96.19584,94.62588,98.28294875,94.62588,99.57967,4523.37599,0,46,4.95379,-4.95379,0.313715000000002,43,-0.784980000000004,45
Dimethyl.Fumarate,99.4516,99.47288,99.43385,99.1782,98.9336,98.45911,98.23289,97.82285,97.97475,98.07098,98.03893,97.92744,98.0162,98.38354,98.00723,97.31639,97.92047,97.54717,96.70535,95.75493,96.12918,94.55756,94.39633,93.71518,97.5602754166667,93.71518,99.47288,4489.72644,2,46,5.7577,-5.73642,0.302039999999998,31,-0.785810000000005,41
Silibinin,99.36794,99.75989,99.63245,99.51805,99.41236,99.26971,99.04321,99.41879,99.17495,99.26868,99.29459,99.3189,99.37285,99.29652,99.19048,99.04882,99.03624,98.85714,98.7643,98.43231,98.02787,96.86311,96.43492,95.37542,98.7991458333333,95.37542,99.75989,4547.61564,2,46,4.38446999999999,-3.99252,0.195974999999997,1,-0.582379999999993,41
Gliclazide.,99.15002,99.11154,98.98783,98.88435,98.44847,98.38493,97.90051,97.65362,97.85594,97.50214,97.61701,97.46415,97.52347,97.90044,97.79005,97.32619,97.48141,97.02102,96.43243,95.74229,95.88203,94.55956,93.9919,92.48769,97.2124579166667,92.48769,99.15002,4474.56027,0,46,6.66233,-6.66233,0.188485,25,-0.752105,45
Taxifolin..Dihydroquercetin.,99.58727,99.58575,99.55347,99.51639,99.26612,99.40884,99.23981,99.29128,99.28941,99.27788,99.42355,99.75596,99.6647,99.78455,99.68259,99.84864,99.4614,99.44794,99.26903,99.24963,98.89533,98.60335,98.31046,97.65501,99.294515,97.65501,99.84864,4568.89444,30,46,2.19363,-1.93226,0.166204999999998,21,-0.327725000000001,45
Lonidamine,99.01947,99.09517,98.81975,98.86956,98.61253,98.63747,98.57731,98.75298,98.81292,98.77921,98.60514,98.61095,98.23518,98.37104,98.37656,97.94705,97.66529,97.32378,96.14403,95.54818,95.27623,94.43979,93.99619,93.63851,97.5897620833333,93.63851,99.09517,4491.6506,2,46,5.45666,-5.38096,0.0878349999999983,13,-0.589874999999999,35
Empty.3.14,99.67084,99.72825,99.53947,99.33471,99.29453,99.08086,99.09006,98.76188,98.64874,98.72789,98.66385,98.33346,98.03838,97.18224,96.33545,95.86103,94.78006,93.91544,92.54275,90.2995,88.69901,87.19315,86.30781,84.06181,95.5871320833333,84.06181,99.72825,4404.44969,2,46,15.66644,-15.60903,0.0395749999999992,17,-1.123,45
Empty.3.15,99.66393,99.85278,99.85873,99.80589,99.48054,99.41299,99.37831,99.16141,98.76781,98.55575,98.57468,98.10303,97.47741,97.05549,96.16109,95.4697,94.44353,94.22939,92.34264,91.88549,90.96325,89.57884,88.45317,87.653,96.0970354166667,87.653,99.85873,4425.34077,4,46,12.20573,-12.01093,0.0944250000000011,1,-0.943374999999996,35
Ribitol,99.77404,99.85963,100,99.95192,99.83795,99.77929,99.67824,99.71747,99.50741,99.55735,99.58457,99.36263,99.33444,98.87461,98.80457,98.196,97.68311,97.32019,96.79377,95.73075,94.76672,94.08466,92.99817,92.87915,98.0865266666667,92.87915,100,4515.50009,4,46,7.12085,-6.89489,0.0701850000000022,3,-0.543244999999999,43
Alogliptin,99.37499,99.49698,99.33755,99.40449,99.08418,98.99031,98.54151,98.15765,98.28946,98.12706,97.72642,98.23081,97.70576,97.13271,96.67937,95.91926,95.47648,93.9575,93.01786,92.36639,90.80107,90.45701,88.64507,87.91929,96.0349658333333,87.91929,99.49698,4422.38408,2,46,11.57769,-11.4557,0.252195,21,-0.905969999999996,43
PP121,98.60818,98.34162,98.05419,98.43597,98.89484,98.95598,98.71165,98.72298,97.94022,97.96308,97.97178,97.56548,96.84101,95.94619,96.14403,95.49513,94.93486,93.52764,93.22184,92.23557,92.17754,91.21995,90.96597,89.38847,95.92767375,89.38847,98.95598,4416.53169,10,46,9.56751,-9.21971000000001,0.229435000000002,7,-0.78875,45
X4.Aminohippuric.Acid,99.61634,99.65192,99.55252,99.40822,99.30157,99.09614,98.92517,98.52148,98.63692,99.12653,98.96454,98.4594,98.74219,98.45808,98.53619,98.51216,98.38687,97.51526,96.86097,96.40907,95.09904,94.53711,93.61584,92.959,97.8705220833333,92.959,99.65192,4505.20972,2,46,6.69292,-6.65733999999999,0.244804999999999,17,-0.655014999999999,39
GW3965.HCl,99.6111,99.72266,99.63541,99.39716,99.26398,98.96095,98.69584,98.48281,98.48398,98.57883,98.61447,98.48943,98.39481,98.08701,98.06594,97.99058,97.59241,97.29297,96.68607,96.3751,95.64599,94.49139,94.18111,93.06925,97.7420520833333,93.06925,99.72266,4498.93815,2,46,6.65341000000001,-6.54185,0.0557800000000057,1,-0.577300000000001,41
SB742457,99.56197,99.36588,99.06456,98.73839,98.99957,98.10068,97.76469,97.41158,96.9842,96.60111,96.82581,95.95732,95.55087,95.88271,95.80978,95.55688,95.08627,95.21696,94.63051,94.05724,92.92287,92.3074,92.48438,91.65686,96.1057704166667,91.65686,99.56197,4421.85815,0,46,7.90511000000001,-7.90511000000001,0.16592,25,-0.567184999999995,39
NU7441..KU.57788.,98.35197,98.18806,97.64928,97.52369,96.76067,96.43774,95.63052,95.02499,94.00634,93.02413,91.87086,91.49963,91.16338,91.26505,91.8066,92.65652,92.8536,92.79247,91.50703,89.78579,87.10357,84.7308,82.06612,79.28112,92.2074970833333,79.28112,98.35197,4248.32677,0,46,19.07085,-19.07085,0.424959999999999,29,-1.3925,45
Lumiracoxib,99.35213,99.19663,99.4344,99.11154,98.56647,98.45055,98.07285,97.89656,98.05675,97.76082,97.48286,97.4935,97.32683,97.57861,96.75646,97.07082,96.12075,96.18195,95.67922,95.76598,94.20348,93.08361,91.93288,92.49972,96.8781404166667,91.93288,99.4344,4458.29889,4,44,7.50152,-6.85241000000001,0.28342,45,-0.78125,39
WAY.100635.Maleate,99.86425,99.91752,99.85887,99.70365,99.40913,99.30344,99.2892,99.10339,99.00101,98.89478,98.6823,98.45704,98.22384,97.75343,97.7354,97.44591,97.37718,97.47872,95.98868,96.15936,95.54024,95.39511,94.14462,93.49082,97.8424120833333,93.49082,99.91752,4503.08071,2,46,6.4267,-6.37343,0.0853400000000022,37,-0.745019999999997,35
BAY.11.7082,99.52973,97.942,95.04807,93.18619,91.97205,91.49244,90.07957,88.14026,88.20547,87.58904,87.03986,87.82941,86.46468,86.5265,88.6452,86.62831,86.92257,88.78922,87.5489,85.96436,86.63108,86.86651,86.31998,85.84542,89.2169508333333,85.84542,99.52973,4097.03849,0,46,13.68431,-13.68431,1.05935,27,-1.446965,3
Trametinib..GSK1120212.,99.30453,99.60931,99.7013,99.63223,99.47412,99.19946,99.20561,98.81465,98.83018,98.31979,98.22557,98.76947,98.6653,98.74357,98.83862,98.97904,98.48115,98.62276,97.4685,97.21104,96.34677,96.37426,95.88824,94.58443,98.3037458333333,94.58443,99.7013,4524.69084,4,46,5.11687000000001,-4.7201,0.271949999999997,21,-0.651904999999999,45
Icotinib,99.52551,99.47031,99.29424,98.98222,98.61282,98.01102,97.38236,96.91553,96.41599,95.97024,95.13345,94.54229,93.86536,93.56908,94.19733,95.53886,96.32555,97.78701,96.97881,97.63448,97.69299,96.55269,96.67592,94.83269,96.7461145833333,93.56908,99.52551,4449.4553,0,26,5.95643,-4.69282,0.730729999999994,33,-0.921615000000003,45
KW.2478,99.28436,99.00972,98.73258,98.59637,98.48798,98.18744,97.64271,97.71814,96.98683,96.01707,95.45133,94.47425,94.34052,93.10233,95.30849,96.45853,97.28144,98.68016,96.72523,98.54034,98.2208,98.82487,98.34064,97.85457,97.2611125,93.10233,99.28436,4471.39447,0,26,6.18203000000001,-1.42979000000001,1.10308000000001,27,-0.977465000000002,35
Carbazochrome.sodium.sulfonate..AC.17.,98.2999,98.49918,98.36152,97.9684,97.39777,96.38013,95.51026,94.84789,94.34045,94.02858,92.8728,92.20649,91.68697,92.18542,93.2505,94.46195,94.52116,95.5258,95.59171,95.61283,95.66299,95.95732,96.08124,96.10349,95.3064479166667,91.68697,98.49918,4380.30611,2,24,6.81220999999999,-2.19641,0.605725,29,-0.577890000000004,19
XL335,99.78047,99.76265,99.55155,99.47598,99.42197,99.49574,99.33659,99.02153,99.20803,99.10919,99.1851,98.8476,98.75442,99.34294,99.29688,99.52703,99.56564,99.59576,99.70844,99.64066,99.42908,99.57055,99.57185,99.23366,99.3930545833333,98.75442,99.78047,4571.85249,0,24,1.02605,-0.546809999999994,0.294260000000001,25,-0.169094999999999,45
Aspirin,99.41671,99.36278,99.23574,98.98299,98.90749,98.58028,98.26183,98.2447,97.573,97.32261,97.31956,97.11269,97.18362,97.23598,97.38678,97.3521,97.93669,98.16934,98.19897,98.08997,98.31516,98.0698,98.41732,97.95203,98.1095058333333,97.11269,99.41671,4511.88754,0,22,2.30401999999999,-1.46468,0.292295000000003,31,-0.335850000000001,15
YO.01027,98.49275,98.38783,98.29746,98.01496,97.70293,97.03663,97.01839,97.72476,96.09409,96.70452,95.8468,95.88388,96.06805,95.31104,94.53428,94.40642,94.80976,94.43655,95.31837,95.02797,93.91757,95.29715,94.06637,94.04087,96.0183083333333,93.91757,98.49275,4416.34518,0,40,4.57518,-4.45188,0.689790000000002,41,-0.815335000000005,15
Piceatannol,99.3636,99.46956,99.48598,99.16286,98.95052,98.7553,98.61192,98.1536,98.46291,98.24574,98.15642,98.54919,98.3593,98.24429,98.51251,98.24546,98.19772,98.30645,98.32269,98.62621,98.34335,98.17293,98.0363,98.55713,98.5538308333333,98.0363,99.48598,4532.66315,4,44,1.44968,-0.806470000000004,0.260415000000002,45,-0.22916,13
JTC.801,97.93427,97.71393,96.7691,96.02487,95.22021,94.24748,93.65929,93.57607,92.09763,91.02515,90.78318,90.92624,92.50539,93.67062,96.66168,97.64304,98.0582,98.40979,98.41249,99.553,99.3884,99.40622,99.35055,99.29777,95.9306070833333,90.78318,99.553,4407.4371,38,20,8.76982,1.3635,1.49553,27,-0.739220000000003,15
Fosaprepitant.dimeglumine.salt,98.57868,98.58733,98.49165,97.96971,97.85497,97.29919,96.96928,96.42496,96.13767,95.69255,95.25993,94.91413,94.76037,95.22974,94.83732,94.42577,94.12321,94.27035,94.41422,94.83539,93.72374,92.36647,91.84253,91.80669,95.4506604166667,91.80669,98.58733,4391.24633,2,46,6.78063999999999,-6.77199,0.234685000000006,25,-0.678635,41
TG101348..SAR302503.,98.85658,99.20133,98.89568,98.33479,98.43322,98.54808,97.88123,97.93442,97.61437,99.03997,99.15975,99.6446,99.67313,99.96774,100,99.98066,99.97803,99.97816,99.97823,100,99.95136,99.95626,99.77038,98.94023,99.2382583333333,97.61437,100,4565.63959,28,16,2.38563000000001,0.0836500000000058,0.712800000000001,17,-0.415075000000002,45
Rupatadine.Fumarate,99.65482,99.70097,99.65364,99.75291,99.6321,99.47094,99.27159,99.3647,99.073,99.22607,99.04964,98.90528,98.77375,99.10947,98.88317,98.36586,98.27522,98.15662,97.8232,97.49709,97.19322,96.72511,96.69927,96.04172,98.5958066666667,96.04172,99.75291,4536.90218,6,46,3.71119,-3.6131,0.167859999999997,25,-0.328775,45
GSK3787,98.64708,99.20416,99.30177,99.28008,99.00019,98.7473,98.67967,98.45863,98.52502,98.82129,98.60044,97.97316,98.38499,97.9934,98.2988,97.98593,97.36198,97.55098,96.42462,95.41611,95.68398,94.61317,94.57338,92.85297,97.5991291666667,92.85297,99.30177,4493.25815,4,46,6.44880000000001,-5.79411,0.27854,1,-0.860205000000001,45
Necrostatin.1,97.29166,99.01372,99.63866,99.47895,99.25397,98.90576,99.20665,99.17999,99.09772,99.3439,98.95715,98.69439,98.44606,98.27869,98.3316,97.81326,97.00016,96.83534,96.2466,95.6022,94.62096,95.92596,93.6202,93.91246,97.6956670833333,93.6202,99.63866,4498.1879,4,44,6.01846,-3.3792,0.861030000000007,1,-1.15288,43
AMG.458,99.84954,99.83663,99.60052,99.33755,99.32304,99.08708,98.66703,98.80505,98.48419,98.49973,98.31191,98.37941,98.37084,98.15726,97.23418,96.78519,96.62804,96.58937,95.62251,94.39944,94.46466,94.32408,93.55561,92.49799,97.36711875,92.49799,99.84954,4481.27417,0,46,7.35155,-7.35155,0.0690099999999987,13,-0.611535000000003,37
Diclofenac.Diethylamine,99.23566,99.39793,99.13772,98.88234,98.6796,98.20056,97.80531,97.40502,97.00119,96.99117,96.51352,97.13065,97.38409,98.04211,97.6311,97.7173,98.45082,98.3325,98.81872,98.22094,98.62033,98.24934,98.95245,98.56686,98.14030125,96.51352,99.39793,4512.93194,2,20,2.88441,-0.66879999999999,0.366759999999999,31,-0.29889,37
CUDC.907,99.65987,99.56522,99.09392,99.17384,99.63818,99.66304,99.79436,99.84146,100,99.91966,99.92975,99.97997,99.95323,99.98058,100,99.95441,99.96925,100,100,99.94072,100,100,100,100,99.8357275,99.09392,100,4592.45505,16,4,0.906080000000003,0.340130000000002,0.232170000000004,7,-0.23565,3
Beclomethasone.dipropionate,99.49159,99.6459,99.23103,98.60805,98.03408,97.50987,96.85027,96.36673,95.96733,96.08062,96.52029,96.98248,96.71474,97.05196,97.61355,97.15993,96.87699,97.18604,97.49081,96.54729,97.11593,96.36452,96.59454,96.24599,97.26043875,95.96733,99.6459,4472.76348,2,16,3.67856999999999,-3.2456,0.284320000000001,39,-0.471759999999996,37
MK.5108..VX.689.,98.78951,98.6573,98.41711,97.78293,97.40819,96.80765,96.42966,96.20731,96.491,97.48506,97.56976,97.87923,97.9235,98.6077,98.44316,98.48101,98.61936,99.00661,98.90141,98.77763,99.10773,98.89105,99.16804,99.06774,98.1216520833333,96.20731,99.16804,4511.98205,44,14,2.96073,0.278229999999994,0.497030000000002,17,-0.31709,5
Pidotimod,99.54803,99.48531,99.26329,99.03991,98.83841,98.31503,98.17279,98.22508,98.43784,98.32394,98.73225,98.56557,98.57455,98.5275,98.68893,98.82508,99.03362,98.92669,98.80824,99.08253,98.96115,98.92579,98.68278,98.70468,98.7787079166667,98.17279,99.54803,4543.12527,0,12,1.37523999999999,-0.843350000000001,0.204155,19,-0.261690000000002,9
M344,98.70322,99.02637,98.68188,98.7004,99.00468,99.14152,99.38908,99.27739,99.25224,99.44056,99.33659,99.40932,99.43689,99.2271,99.30426,99.20866,99.26641,99.48048,99.04329,99.46397,99.24091,99.28719,99.55942,99.22517,99.2127916666667,98.68188,99.55942,4564.28561,44,4,0.877539999999996,0.521950000000004,0.210340000000002,37,-0.218595000000001,35
Sulfamerazine,99.67589,99.75042,99.41051,99.45125,98.9363,98.71158,98.41691,98.14952,98.1759,98.61115,98.49316,98.49399,98.37774,98.99225,98.7795,98.9785,99.07465,99.08585,99.36746,99.25135,99.07755,99.01118,98.35315,99.04536,98.9029633333333,98.14952,99.75042,4548.62099,2,14,1.60090000000001,-0.630529999999993,0.346105000000001,45,-0.329014999999998,43
INCB28060,99.40289,99.66083,99.67956,99.53062,99.24147,99.0415,98.90866,98.59879,98.23207,98.3731,98.36987,98.60106,98.89907,98.77348,98.84152,99.11423,99.19622,99.12714,99.3073,99.07721,99.36346,99.24244,99.44144,99.6006,99.06768875,98.23207,99.67956,4556.24557,4,16,1.44749,0.197710000000001,0.149004999999995,23,-0.18336,15
Entacapone,99.76347,99.82599,99.80534,99.77729,99.52399,99.28809,99.12466,98.99148,98.67097,98.58601,98.75282,98.57198,98.77072,98.9405,98.903,99.02567,99.29051,99.04791,99.18925,99.11693,99.31364,99.31544,99.32264,99.02368,99.1642491666667,98.57198,99.82599,4561.09681,2,22,1.25401000000001,-0.739789999999999,0.132419999999996,31,-0.160254999999999,15
AZD4547,99.60226,99.40028,99.50561,99.2023,98.54567,98.21334,97.69948,97.40965,96.71688,96.4166,96.07198,96.99097,97.46242,98.07616,98.3115,98.89229,99.19395,99.30115,99.64693,99.65172,99.8235,99.66525,99.84816,99.97285,98.5675375,96.07198,99.97285,4531.66669,46,20,3.90087,0.370589999999993,0.459495000000004,21,-0.346384999999998,15
Tylosin.tartrate,97.74411,98.48792,97.83785,97.76442,97.35839,96.65423,96.01286,95.10734,94.29549,95.95732,95.69109,96.15246,96.47435,96.93647,96.90787,97.36329,97.54517,98.03292,97.85918,98.33871,98.18433,98.29852,97.80254,97.70515,97.1046658333333,94.29549,98.48792,4465.5747,2,16,4.19243,-0.038960000000003,0.830914999999997,17,-0.452760000000005,13
INK.128..MLN0128.,98.93851,98.96716,98.8795,99.60654,99.70615,99.75699,99.77646,99.87013,99.94486,99.9812,99.97091,99.97941,100,99.98024,99.98066,100,100,99.97844,100,99.97568,100,100,99.97547,100,99.80284625,98.8795,100,4591.59811,24,4,1.12050000000001,1.06149000000001,0.363520000000001,5,-0.0438300000000069,3
Brinzolamide,98.98416,98.93484,98.80401,98.63927,98.20726,97.54158,97.28455,96.84439,96.88348,96.67164,96.80101,96.88763,97.10999,97.64858,98.05737,98.28275,98.09743,97.99346,97.90788,98.09177,97.82361,98.10393,98.236,98.01675,97.8272225,96.67164,98.98416,4498.70577,0,18,2.31252000000001,-0.967410000000001,0.269295,25,-0.332840000000004,9
TAE226..NVP.TAE226.,99.31026,99.1181,98.85761,98.95467,99.22559,99.58691,99.63084,99.78751,99.83435,99.93568,99.87772,99.88395,99.88595,99.96663,99.94301,99.75505,99.93748,99.92484,99.91476,99.86081,99.91393,99.89285,99.91724,99.8981,99.7005766666667,98.85761,99.96663,4586.41932,26,4,1.10902,0.58784,0.180660000000003,9,-0.130245000000002,3
Ropinirole.HCl,99.34026,99.24298,99.20396,99.00509,98.69135,98.52618,98.23323,97.84143,98.09343,98.32848,98.84469,98.95998,99.01794,99.38322,99.2892,99.40096,99.44731,99.58664,99.57511,99.48109,99.66718,99.63092,99.54037,99.59535,99.0802645833333,97.84143,99.66718,4556.91709,40,14,1.82575,0.255089999999996,0.258105,19,-0.195900000000002,13
Clindamycin,99.55556,99.60315,99.57579,99.38135,99.10912,98.83275,98.83696,98.47231,98.58842,99.0158,99.10007,99.40559,99.31026,99.67983,99.60916,99.8184,99.86246,99.84132,99.9229,99.97961,99.91621,99.85431,99.84582,99.84429,99.4567266666667,98.47231,99.97961,4574.52303,38,14,1.5073,0.288730000000001,0.21369,17,-0.182325000000006,13
Catharanthine,99.01794,99.37173,99.04405,99.18172,98.71545,98.52522,97.959,97.68041,97.73215,97.87389,98.40503,98.39874,98.58891,98.78336,98.81479,98.74053,98.89844,98.94583,99.05559,99.19471,99.09164,99.37016,99.1965,99.64604,98.7596595833333,97.68041,99.64604,4541.79968,46,14,1.96563,0.628100000000003,0.265569999999997,19,-0.283110000000001,11
BRL.54443,99.4813,99.2311,99.22206,98.92013,98.40558,98.2186,98.19441,97.75288,97.84151,98.03063,97.888,98.96681,98.94445,98.61343,98.87682,99.1795,99.40324,99.47778,99.57711,99.56847,99.48675,99.22365,99.43558,99.44628,98.89108625,97.75288,99.57711,4547.84456,36,14,1.82423,-0.0350200000000029,0.539404999999995,21,-0.257275,7
Pergolide.mesylate,99.20852,99.25197,99.30971,99.09123,98.71048,98.60327,98.04507,97.78445,97.59456,97.65556,98.46451,98.31184,98.83752,98.30618,99.10056,98.96731,98.58601,99.16763,98.53482,98.81444,99.35973,98.83717,99.05682,98.34936,98.66453,97.59456,99.35973,4538.33956,40,16,1.76517,-0.859159999999989,0.404475000000005,19,-0.353729999999999,45
