,confluency_t0,confluency_t2,confluency_t4,confluency_t6,confluency_t8,confluency_t10,confluency_t12,confluency_t14,confluency_t16,confluency_t18,confluency_t20,confluency_t22,confluency_t24,confluency_t26,confluency_t28,confluency_t30,confluency_t32,confluency_t34,confluency_t36,confluency_t38,confluency_t40,confluency_t42,confluency_t44,confluency_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
VU.0357121,98.55451,98.82405,98.73921,98.30736,97.95312,97.52231,97.28924,97.0369,97.18335,97.75385,98.28629,98.59941,98.98872,99.24651,99.10967,99.26971,99.5959,99.6647,99.78288,99.92394,99.7471,99.72604,99.83379,99.84734,98.7827458333333,97.0369,99.92394,4543.16995,38,14,2.88704,1.29283000000001,0.285249999999998,17,-0.215924999999999,5
Mepivacaine.HCl,99.41306,99.29618,99.1315,99.19907,99.37754,98.89781,99.04681,99.11866,99.0303,99.34785,99.57987,99.65937,99.83497,99.8434,99.95744,99.9352,99.95716,99.93803,99.93368,99.97603,99.93423,99.96104,99.9781,99.93533,99.5951095833333,98.89781,99.9781,4581.21687,44,10,1.08028999999999,0.522269999999992,0.158774999999999,17,-0.239864999999995,9
Dabrafenib..GSK2118436.,100,99.981,99.97616,99.97368,99.92173,99.97741,99.85699,99.8979,99.8394,99.83104,99.82972,99.83041,99.78903,99.73875,99.80299,99.91766,99.97554,99.9312,99.79932,99.95026,99.85045,99.94695,99.97982,99.93368,99.89712875,99.73875,100,4595.1285,0,26,0.261250000000004,-0.0663200000000046,0.0754700000000028,37,-0.0659400000000048,35
Antipyrine,97.33533,97.52038,97.63539,97.16836,96.74632,96.00644,96.03447,96.71342,96.88693,97.25443,97.46345,97.90804,97.84011,98.35986,98.41324,98.74778,98.78426,99.14346,99.2224,99.32291,99.30827,99.38943,99.52385,99.26937,97.9999125,96.00644,99.52385,4507.3911,44,10,3.51741,1.93404,0.339475,13,-0.36994,9
Torin.2,99.0151,99.15823,98.97055,99.54285,99.95365,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.8600158333333,98.97055,100,4594.26566,10,4,1.02945,0.984899999999996,0.286149999999999,5,-0.0938400000000001,3
Adrenalone.HCl,99.85652,99.89217,99.95393,99.84243,99.70435,99.58097,99.15554,98.72554,98.83219,99.22945,99.37887,99.47047,99.61275,99.48772,99.81735,99.77238,99.78262,99.72472,99.73494,99.72009,99.82461,99.59314,99.80547,99.74524,99.5934775,98.72554,99.95393,4580.88516,4,14,1.22839,-0.111280000000008,0.198630000000001,17,-0.215000000000003,13
ML133.HCl,99.69516,99.80699,99.78987,99.55936,99.44615,99.42321,98.87882,99.00957,99.23007,99.38819,99.36946,99.22897,99.41899,99.57946,99.60135,99.82854,99.70353,99.75733,99.83814,99.82178,99.76112,99.91862,99.81535,99.95564,99.5760695833333,98.87882,99.95564,4580.00054,46,12,1.07682,0.260480000000001,0.113595000000004,29,-0.272194999999996,11
Reboxetine.mesylate,98.38423,98.64624,98.47922,97.82948,97.71849,97.00008,96.8426,96.65996,97.05321,97.19605,96.82706,97.30672,97.78625,98.07491,98.53834,98.95985,98.78881,98.87543,99.14607,99.119,99.08108,98.97476,99.10662,98.8646,98.1357941666667,96.65996,99.14607,4513.26929,36,14,2.48611,0.480369999999994,0.239829999999998,21,-0.359205000000003,9
Semaxanib..SU5416.,99.2347,99.46058,99.29991,99.21452,99.04385,98.65494,98.61364,98.9269,99.04765,99.03072,99.38881,99.5463,99.56156,99.73206,99.74552,99.82841,99.79144,99.86978,99.83462,99.82358,99.78738,99.78883,99.855,99.83538,99.4548366666667,98.61364,99.86978,4574.76208,34,12,1.25614,0.600679999999997,0.179045000000002,19,-0.194455000000005,9
Schisandrin.B..Sch.B.,99.18351,99.14828,99.12549,98.83752,98.86646,98.81396,98.86479,99.32947,99.12535,99.15105,99.17862,99.60128,99.57697,99.61255,99.73398,99.71651,99.72631,99.7677,99.81611,99.82406,99.70607,99.8702,99.83379,99.81915,99.4262158333333,98.81396,99.8702,4573.4557,42,10,1.05624,0.635639999999995,0.232340000000001,13,-0.143985000000001,5
